Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Atomic structure,1.1 Particles in the atom and atomic radius,"understand that atoms are mostly empty space surrounding a very small, dense nucleus that contains protons and neutrons; electrons are found in shells in the empty space around the nucleus",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9701/1,75,40,31
1 Atomic structure,1.1 Particles in the atom and atomic radius,"understand that atoms are mostly empty space surrounding a very small, dense nucleus that contains protons and neutrons; electrons are found in shells in the empty space around the nucleus",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9701/2,75,60,46
1 Atomic structure,1.1 Particles in the atom and atomic radius,"understand that atoms are mostly empty space surrounding a very small, dense nucleus that contains protons and neutrons; electrons are found in shells in the empty space around the nucleus",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9701/1,75,40,15.5
1 Atomic structure,1.1 Particles in the atom and atomic radius,"understand that atoms are mostly empty space surrounding a very small, dense nucleus that contains protons and neutrons; electrons are found in shells in the empty space around the nucleus",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 AS Level Structured Questions,9701/2,75,60,23
1 Atomic structure,1.1 Particles in the atom and atomic radius,"identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9701/1,75,40,31
1 Atomic structure,1.1 Particles in the atom and atomic radius,"identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9701/2,75,60,46
1 Atomic structure,1.1 Particles in the atom and atomic radius,"identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9701/1,75,40,15.5
1 Atomic structure,1.1 Particles in the atom and atomic radius,"identify and describe protons, neutrons and electrons in terms of their relative charges and relative masses",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 AS Level Structured Questions,9701/2,75,60,23
1 Atomic structure,1.1 Particles in the atom and atomic radius,understand the terms atomic and proton number; mass and nucleon number,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9701/1,75,40,31
1 Atomic structure,1.1 Particles in the atom and atomic radius,understand the terms atomic and proton number; mass and nucleon number,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9701/2,75,60,46
1 Atomic structure,1.1 Particles in the atom and atomic radius,understand the terms atomic and proton number; mass and nucleon number,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9701/1,75,40,15.5
1 Atomic structure,1.1 Particles in the atom and atomic radius,understand the terms atomic and proton number; mass and nucleon number,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 AS Level Structured Questions,9701/2,75,60,23
1 Atomic structure,1.1 Particles in the atom and atomic radius,describe the distribution of mass and charge within an atom,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9701/1,75,40,31
1 Atomic structure,1.1 Particles in the atom and atomic radius,describe the distribution of mass and charge within an atom,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9701/2,75,60,46
1 Atomic structure,1.1 Particles in the atom and atomic radius,describe the distribution of mass and charge within an atom,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 1 Multiple Choice,9701/1,75,40,15.5
1 Atomic structure,1.1 Particles in the atom and atomic radius,describe the distribution of mass and charge within an atom,Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,A Level,Paper 2 AS Level Structured Questions,9701/2,75,60,23
1 Atomic structure,1.1 Particles in the atom and atomic radius,"describe the behaviour of beams of protons, neutrons and electrons moving at the same velocity in an electric field",Chemistry,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9701/1,75,40,31
