Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,The Ancient Regime and pressure for change including absolute monarchy and structure of royal government,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,French society: the Estate system including the discontent of the Third Estate,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,American War of Independence and its influence,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,The influence of the Enlightenment,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,Economic problems and attempts to deal with them up to 1787 including Necker Turgot and Calonne,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,The financial and political crisis 1787-89,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,The Assembly of Notables including failure of Calonne's reforms and Brienne and the involvement of the Parlement of Paris,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,Economic problems including bad harvests and food shortage unemployment and price rises,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,Necker reappointed as Finance Minister,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
France 1774-1814,What were the causes and immediate consequences of the 1789 Revolution?,King's decision to call the Estates-General including Cahiers de doléances,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Historical Sources,9489/1,75,40,40
