Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
1 Physical quantities and units,1.1 Physical quantities,1 understand that all physical quantities consist of a numerical magnitude and a unit,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.1 Physical quantities,1 understand that all physical quantities consist of a numerical magnitude and a unit,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.1 Physical quantities,2 make reasonable estimates of physical quantities included within the syllabus,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.1 Physical quantities,2 make reasonable estimates of physical quantities included within the syllabus,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.2 SI units,"1 recall the following SI base quantities and their units: mass (kg), length (m), time (s), current (A), temperature (K)",Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.2 SI units,"1 recall the following SI base quantities and their units: mass (kg), length (m), time (s), current (A), temperature (K)",Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.2 SI units,2 express derived units as products or quotients of the SI base units and use the derived units for quantities listed in this syllabus as appropriate,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.2 SI units,2 express derived units as products or quotients of the SI base units and use the derived units for quantities listed in this syllabus as appropriate,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.2 SI units,3 use SI base units to check the homogeneity of physical equations,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.2 SI units,3 use SI base units to check the homogeneity of physical equations,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.2 SI units,"4 recall and use the following prefixes and their symbols to indicate decimal submultiples or multiples of both base and derived units: pico (p), nano (n), micro (μ), milli (m), centi (c), deci (d), kilo (k), mega (M), giga (G), tera (T)",Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.2 SI units,"4 recall and use the following prefixes and their symbols to indicate decimal submultiples or multiples of both base and derived units: pico (p), nano (n), micro (μ), milli (m), centi (c), deci (d), kilo (k), mega (M), giga (G), tera (T)",Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.3 Errors and uncertainties,1 understand and explain the effects of systematic errors (including zero errors) and random errors in measurements,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.3 Errors and uncertainties,1 understand and explain the effects of systematic errors (including zero errors) and random errors in measurements,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.3 Errors and uncertainties,2 understand the distinction between precision and accuracy,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.3 Errors and uncertainties,2 understand the distinction between precision and accuracy,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.3 Errors and uncertainties,3 assess the uncertainty in a derived quantity by simple addition of absolute or percentage uncertainties,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.3 Errors and uncertainties,3 assess the uncertainty in a derived quantity by simple addition of absolute or percentage uncertainties,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.4 Scalars and vectors,1 understand the difference between scalar and vector quantities and give examples of scalar and vector quantities included in the syllabus,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.4 Scalars and vectors,1 understand the difference between scalar and vector quantities and give examples of scalar and vector quantities included in the syllabus,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.4 Scalars and vectors,2 add and subtract coplanar vectors,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.4 Scalars and vectors,2 add and subtract coplanar vectors,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
1 Physical quantities and units,1.4 Scalars and vectors,3 represent a vector as two perpendicular components,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
1 Physical quantities and units,1.4 Scalars and vectors,3 represent a vector as two perpendicular components,Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2 AS Level Structured Questions,9702/2,75,60,46
2 Kinematics,2.1 Equations of motion,"1 define and use distance, displacement, speed, velocity and acceleration",Physics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,9702/1,75,40,31
