Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost",Explain the fundamental economic problem of scarcity,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost",Explain the fundamental economic problem of scarcity,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost","Explain the need to make choices at all levels (individuals, firms, governments)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost","Explain the need to make choices at all levels (individuals, firms, governments)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost",Explain the nature and definition of opportunity cost arising from choices,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost",Explain the nature and definition of opportunity cost arising from choices,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost","Explain the basic questions of resource allocation: what to produce, how to produce, for whom to produce",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,"Scarcity, choice and opportunity cost","Explain the basic questions of resource allocation: what to produce, how to produce, for whom to produce",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Economic methodology,Explain economics as a social science,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Economic methodology,Explain economics as a social science,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Economic methodology,Distinguish between positive and normative statements (the distinction between facts and value judgements),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Economic methodology,Distinguish between positive and normative statements (the distinction between facts and value judgements),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Economic methodology,Explain the meaning of the term ceteris paribus,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Economic methodology,Explain the meaning of the term ceteris paribus,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Economic methodology,"Explain the importance of the time period (short run, long run, very long run)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Economic methodology,"Explain the importance of the time period (short run, long run, very long run)",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Factors of production,"Explain the nature and definition of factors of production: land, labour, capital and enterprise",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Factors of production,"Explain the nature and definition of factors of production: land, labour, capital and enterprise",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Factors of production,Explain the difference between human capital and physical capital,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Factors of production,Explain the difference between human capital and physical capital,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Factors of production,Explain the rewards to the factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Factors of production,Explain the rewards to the factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Factors of production,Explain division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Factors of production,Explain division of labour and specialisation,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Factors of production,Explain the role of the entrepreneur in contemporary economies: risk and organisation of the other factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Factors of production,Explain the role of the entrepreneur in contemporary economies: risk and organisation of the other factors of production,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Resource allocation in different economic systems,"Explain decision-making in market, planned and mixed economies",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Resource allocation in different economic systems,"Explain decision-making in market, planned and mixed economies",Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Resource allocation in different economic systems,Explain resource allocation in these economic systems,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Resource allocation in different economic systems,Explain resource allocation in these economic systems,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Production possibility curves,Explain the nature and meaning of a production possibility curve (PPC),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Production possibility curves,Explain the nature and meaning of a production possibility curve (PPC),Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Production possibility curves,Explain the shape of the PPC: constant and increasing opportunity costs,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Production possibility curves,Explain the shape of the PPC: constant and increasing opportunity costs,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Production possibility curves,Explain the causes and consequences of shifts in a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
Basic economic ideas and resource allocation,Production possibility curves,Explain the causes and consequences of shifts in a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 2,9708/2,120,60,67
Basic economic ideas and resource allocation,Production possibility curves,Explain the significance of a position within a PPC,Economics,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1,9708/1,60,30,33
