Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The Ancien Régime and pressure for change — Absolute monarchy and structure of royal government,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The Ancien Régime and pressure for change — French society: the Estate system, including: The discontent of the Third Estate",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The Ancien Régime and pressure for change — American War of Independence,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The Ancien Régime and pressure for change — The influence of the Enlightenment,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The Ancien Régime and pressure for change — Economic problems and attempts to deal with them up to 1787, including: Necker, Turgot and Calonne",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The financial and political crisis, 1787–89 — The Assembly of Notables, including: Failure of Calonne’s reforms; Brienne and the involvement of the Parlement of Paris",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The financial and political crisis, 1787–89 — Economic problems, including: Bad harvests and food shortage; Unemployment and price rises; Necker reappointed as Finance Minister",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The financial and political crisis, 1787–89 — King’s decision to call the Estates-General, including: Cahiers de doléances",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The financial and political crisis, 1787–89 — The meeting of the Estates-General",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The financial and political crisis, 1787–89 — The National Assembly and the Tennis Court Oath",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,"The financial and political crisis, 1787–89 — Louis’ refusal to carry out reform",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The outbreak of revolution — The Storming of the Bastille,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The outbreak of revolution — The Great Fear,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The outbreak of revolution — The August Decrees,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The outbreak of revolution — The Declaration of the Rights of Man and of the Citizen,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",What were the causes and immediate consequences of the 1789 Revolution?,The outbreak of revolution — March of the Women,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",How and why did France become a republic by 1792?,"The revolutionary and counter-revolutionary groups — Aims of the revolutionary groups, including: The Jacobins, the Feuillants and the Girondins",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",How and why did France become a republic by 1792?,The revolutionary and counter-revolutionary groups — Counter-revolutionary groups: reasons for failure,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",How and why did France become a republic by 1792?,"Reforms — Financial, including: Assignats; Taxation reform",History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",How and why did France become a republic by 1792?,Reforms — Local government,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",How and why did France become a republic by 1792?,Reforms — Justice,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
"France, 1774–1814",How and why did France become a republic by 1792?,Reforms — Church reforms,History,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,,,,,
