Main Topic,Subtopic,Learning Outcome,Subject,Exam Board,Qualification,Level,Component Name,Paper Code,Duration (min),Total Marks,Weighting (%)
Assessment objectives,AO1 Knowledge and understanding,"scientific phenomena, facts, laws, definitions, concepts and theories",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,AO1 Knowledge and understanding,"scientific vocabulary, terminology and conventions (including symbols, quantities and units)",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,AO1 Knowledge and understanding,"scientific instruments and apparatus, including techniques of operation and aspects of safety",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,AO1 Knowledge and understanding,scientific quantities and their determination,Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,AO1 Knowledge and understanding,"scientific and technological applications with their social, economic and environmental implications.",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information","locate, select, organise and present information from a variety of sources",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information",translate information from one form to another,Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information",manipulate numerical and other data,Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information","use information to identify patterns, report trends and draw conclusions",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information","give reasoned explanations for phenomena, patterns and relationships",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information",make predictions and construct arguments to support hypotheses,Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information","apply knowledge, including principles, to new situations",Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
Assessment objectives,"AO2 Handling, applying and evaluating information",evaluate information and hypotheses,Biology,Cambridge Assessment International Education,Cambridge International AS & A Level,AS Level,Paper 1 Multiple Choice,Paper 1,75,40,31
